id_1,rede_1,nome_1,id_2,rede_2,nome_2,distancia_km,estado
246,Selfit,CONDE DE BONFIM,996,Smartfit,Av. Maracanã II,0.776,Rio de Janeiro
246,Selfit,CONDE DE BONFIM,999,Smartfit,Haddock Lobo,0.869,Rio de Janeiro
248,Selfit,COSTA AZUL,1253,Smartfit,Costa Azul,0.346,Bahia
256,Selfit,ESTAÇÃO CUIABÁ,389,BodyTech,GOIABEIRAS SHOPPING,0.918,Mato Grosso
260,Selfit,GARANHUNS,665,Smartfit,Shopping Heliópolis,0.964,State of São Paulo
265,Selfit,HOMERO CASTELO BRANCO,1309,Smartfit,Dom Severino,0.706,Piauí
267,Selfit,ICARAÍ,424,BodyTech,SANTA ROSA,0.192,Rio de Janeiro
267,Selfit,ICARAÍ,1030,Smartfit,João Pessoa,0.216,Rio de Janeiro
268,Selfit,ILHÉUS,428,BodyTech,SHOPPING DA BAHIA,0.888,Bahia
268,Selfit,ILHÉUS,1254,Smartfit,Salvador Shopping,0.336,Bahia
273,Selfit,JAIME BENÉVOLO,1380,Smartfit,Rua Assunção,0.738,Ceará
276,Selfit,JARDINS,1287,Smartfit,Atakarejo Adélia Franco,0.385,Sergipe
277,Selfit,JEAN EMILE,1694,Skyfit,RECIFE (PE),0.754,Pernambuco
279,Selfit,JÓQUEI,331,Selfit,RIVERSIDE,0.364,Piauí
279,Selfit,JÓQUEI,1308,Smartfit,Teresina Shopping,0.718,Piauí
281,Selfit,JUAZEIRO DO NORTE,1302,Smartfit,Juazeiro do Norte,0.489,Ceará
282,Selfit,LAGOA NOVA,283,Selfit,LAGOA NOVA II,0.912,Rio Grande do Norte
282,Selfit,LAGOA NOVA,1344,Smartfit,Lagoa Nova,0.503,Rio Grande do Norte
282,Selfit,LAGOA NOVA,1345,Smartfit,Midway,0.471,Rio Grande do Norte
283,Selfit,LAGOA NOVA II,1344,Smartfit,Lagoa Nova,0.755,Rio Grande do Norte
285,Selfit,LAURO DE FREITAS,1272,Smartfit,Atakarejo Lauro De Freitas,0.263,Bahia
287,Selfit,MADALENA,312,Selfit,PAISSANDÚ,0.94,Pernambuco
287,Selfit,MADALENA,1316,Smartfit,Madalena,0.343,Pernambuco
